"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs5q01_a","cs5q01_b","cs5q01_c","cs5q01_oth","cs5q02","cs5q03","cs5q04","cs5q05_a","cs5q05_b","cs5q05_a_other","cs5q06","cs5q07","cs5q08_a","cs5q08_b","cs5q09","cs5q10","cs5q11","cs5q08_a_other"
"040914010100212","04091400212",4,9,14,1,1,2,12,4,9,10,,2,,,,,,1,1,11,,2,,,"Yeken  sera"
"041005088800403","04100500403",4,10,5,8,88,4,3,1,4,7,,2,,,,,,1,1,1,4,2,,,
"041009088803605","04100903605",4,10,9,8,88,36,5,1,4,,,1,1,2,4,11,,2,,,,2,,,
"041013088802203","04101302203",4,10,13,8,88,22,3,1,9,,,1,0,1,10,9,,1,1,10,9,2,,,
"041016088800104","04101600104",4,10,16,8,88,1,4,9,10,4,,1,2,1,9,10,,1,2,10,9,1,15,5,
"041104088801304","04110401304",4,11,4,8,88,13,4,1,,,,1,5,3,11,,,1,1,1,,2,,,
"041108088801402","04110801402",4,11,8,8,88,14,2,1,,,,2,,,,,,1,1,1,,2,,,
"041112088800402","04111200402",4,11,12,8,88,4,2,1,,,,1,3,3,11,,,1,1,1,,2,,,
"041116088801404","04111601404",4,11,16,8,88,14,4,1,,,,2,,,,,,1,1,1,,2,,,
"041118088800102","04111800102",4,11,18,8,88,1,2,1,3,,,2,,,,,,2,,,,2,,,
"041119010100317","04111900317",4,11,19,1,1,3,17,4,5,9,,1,5,3,9,,,1,1,4,9,2,,,
"041206088802801","04120602801",4,12,6,8,88,28,1,1,5,,,1,2,2,10,1,,1,1,1,,2,,,
"041211088801301","04121101301",4,12,11,8,88,13,1,1,11,4,,2,,,,,,1,1,11,,2,,,
"041216088800101","04121600101",4,12,16,8,88,1,1,1,,,,2,,,,,,2,,,,2,,,
"041302088801103","04130201103",4,13,2,8,88,11,3,1,5,4,,1,33,2,4,6,,2,,,,2,,,
"041305010100102","04130500102",4,13,5,1,1,1,2,1,4,10,,2,,,,,,1,1,4,10,1,60,30,
"041306088800204","04130600204",4,13,6,8,88,2,4,1,3,5,,1,1,2,11,4,,1,1,1,11,2,,,
"041309088801003","04130901003",4,13,9,8,88,10,3,1,5,,,1,1,1,3,5,,2,,,,2,,,
"041314010100306","04131400306",4,13,14,1,1,3,6,4,9,10,,1,1,2,4,,,1,1,9,,1,12,8,
"041402088802701","04140202701",4,14,2,8,88,27,1,1,5,,,2,,,,,,2,,,,2,,,
"041405088801906","04140501906",4,14,5,8,88,19,6,1,4,11,,2,,,,,,1,2,4,11,1,70,30,
"041409088800501","04140900501",4,14,9,8,88,5,1,1,,,,2,,,,,,2,,,,2,,,
"041501010100115","04150100115",4,15,1,1,1,1,15,4,9,10,,1,3,2,10,,,1,1,11,,1,60,40,"Ye gulbet sirra"
"041501010100331","04150100331",4,15,1,1,1,3,31,1,4,9,,1,5,2,4,10,,1,1,9,10,1,60,40,
"041501010100524","04150100524",4,15,1,1,1,5,24,4,9,10,,1,5,2,4,10,,1,1,9,11,1,70,30,"""ye gulbet  sirra """
"041501010100918","04150100918",4,15,1,1,1,9,18,4,9,10,,1,5,2,4,10,,1,1,6,9,1,70,30,
"041501010101124","04150101124",4,15,1,1,1,11,24,4,9,10,,1,2,2,9,10,,1,1,4,9,1,70,30,
"041501010101430","04150101430",4,15,1,1,1,14,30,4,9,10,,1,5,3,9,,,1,1,9,,1,5,2,
"041601010100603","04160100603",4,16,1,1,1,6,3,4,8,10,,1,10,2,9,,,1,1,4,,2,,,
"041601010101109","04160101109",4,16,1,1,1,11,9,4,,,,1,3,2,4,,,1,1,4,,1,12,22,
"041703088801901","04170301901",4,17,3,8,88,19,1,1,5,3,,2,,,,,,1,1,1,,2,,,
"041706010100124","04170600124",4,17,6,1,1,1,24,4,5,9,,1,5,2,9,,,1,1,9,,1,2,1,
