"holder_id","household_id","household_id2","rural","pw_w3","ea_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","ph_snrq00","ph_snrq01","ph_snrq02","ph_snrq03","obs"
"0104080040202001","01040800402020","010408088800402020",1,3399.5146484375,"01040800402",1,4,8,4,2,20,1,"N02","YEAKEBABI GEBYA",10,2,2
"0104080040209801","01040800402098","010408088800402098",1,3399.5146484375,"01040800402",1,4,8,4,2,98,1,"N01","WANA GEBEYA",13,2,1
"0104080040211601","01040800402116","010408088800402116",1,3399.5146484375,"01040800402",1,4,8,4,2,116,1,"N01","YEKEBABI GEBEYA",10,2,1
"0104080040211601","01040800402116","010408088800402116",1,3399.5146484375,"01040800402",1,4,8,4,2,116,1,"N02","WANA GEBEYA",13,4,2
"0104080040213501","01040800402135","010408088800402135",1,3399.5146484375,"01040800402",1,4,8,4,2,135,1,"N01","BEWANA GEBEYA",13,4,1
"0105010010513601","01050100105136","010501088800105136",1,362.095764160156,"01050100105",1,5,1,1,5,136,1,"N01","YE AKABABI GEBEYA",10,1,1
"0105010010513601","01050100105136","010501088800105136",1,362.095764160156,"01050100105",1,5,1,1,5,136,1,"N02","YE GL NEGADE",11,4,2
"0105010010520001","01050100105200","010501088800105200",1,362.095764160156,"01050100105",1,5,1,1,5,200,1,"N01","TEKLAY",11,1,1
"0105020020102701","01050200201027","010502088800201027",1,720.011108398438,"01050200201",1,5,2,2,1,27,1,"N01","YE GL NEGADE",11,4,1
"0105020020105701","01050200201057","010502088800201057",1,720.011108398438,"01050200201",1,5,2,2,1,57,1,"N01","YE GL NEGADE",11,4,1
"0105020020107801","01050200201078","010502088800201078",1,720.011108398438,"01050200201",1,5,2,2,1,78,1,"N01","YE GL NEGADE",11,3,1
"0105020020112001","01050200201120","010502088800201120",1,720.011108398438,"01050200201",1,5,2,2,1,120,1,"N01","YE GL NEGADE",11,3,1
"0105020020112002","01050200201120","010502088800201120",1,720.011108398438,"01050200201",1,5,2,2,1,120,2,"N01","YEGL NEGADE",11,3,1
"0105020020114201","01050200201142","010502088800201142",1,720.011108398438,"01050200201",1,5,2,2,1,142,1,"N01","YE GL NEGADE",11,3,1
"0105020020116301","01050200201163","010502088800201163",1,720.011108398438,"01050200201",1,5,2,2,1,163,1,"N01","YE GL NEGADE",11,3,1
"0105020020118404","01050200201184","010502088800201184",1,720.011108398438,"01050200201",1,5,2,2,1,184,4,"N01","YE GL NEGADE",11,3,1
"0105020020120501","01050200201205","010502088800201205",1,720.011108398438,"01050200201",1,5,2,2,1,205,1,"N01","YE GL NEGADE",11,3,1
"0105020071203501","01050200712035","010502088800712035",1,413.561126708984,"01050200712",1,5,2,7,12,35,1,"N01","MEMHR HAGOS TAREKE",10,3,1
