dist_road,dist_popcenter,dist_market,dist_borderpost,dist_admctr,pop_density,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,srtm,twi,srtm_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2015_tot,h2015_wetQ,h2015_wetQstart,eviarea_avg,evimax_avg,grn_avg,sen_avg,h2015_eviarea,h2015_evimax,h2015_grn,h2015_sen,lat_dd_mod,lon_dd_mod,household_id_1,household_id_2,household_id_3,household_id_4,household_id_5,household_id_6,household_id_7,household_id_8,household_id_9,household_id_10,household_id_11,household_id_12,household_id_13,household_id_14,household_id_15,household_id_16,household_id_17,ea_id_1,ea_id_2,ea_id_3,ea_id_4,ea_id_5,ea_id_6,ea_id_7,ea_id_8,ea_id_9,ea_id_10,ea_id_11,ea_id_12,ea_id_13,ea_id_14,
2,54,23,176,147,50-100,245,235,786,245,593,37,30,322,1312,12,8,1,1,1,1,1,1,2,1077,865,18,1555,1185,19,46,0.432,177,257,40,0.386,173,256,13.64251718,38.11918223,1,0,1,0,6,0,8,8,8,0,0,4,0,2,0,0,0,1,0,1,0,6,0,8,8,8,0,0,4,0,2,
2,55,22,176,147,50-100,245,235,786,245,593,23,110,322,1308,12,8,1,1,1,1,1,1,2,1077,865,18,1555,1184,19,46,0.432,177,257,40,0.386,173,256,13.64251718,38.11918223,1,0,1,0,6,0,8,8,8,0,0,4,0,2,0,0,0,1,0,1,0,6,0,8,8,8,0,0,4,0,2,
4,54,23,174,149,50-100,244,234,795,247,600,35,110,322,1342,10,8,1,1,1,1,1,1,2,1080,868,18,1557,1188,19,46,0.432,177,257,40,0.386,173,256,13.64251718,38.11918223,1,0,1,0,6,0,8,8,8,0,0,4,0,2,0,0,0,1,0,1,0,6,0,8,8,8,0,0,4,0,2,
4,55,22,174,149,50-100,246,235,787,244,593,42,20,322,1307,12,8,1,1,1,1,1,1,2,1084,871,18,1560,1191,19,46,0.432,177,257,40,0.386,173,256,13.64251718,38.11918223,1,0,1,0,6,0,8,8,8,0,0,4,0,2,0,0,0,1,0,1,0,6,0,8,8,8,0,0,4,0,2,
5,56,21,173,150,50-100,246,236,786,244,592,33,20,322,1294,10,8,1,1,1,1,1,1,2,1087,874,18,1563,1194,19,46,0.432,177,257,40,0.386,173,256,13.64251718,38.11918223,1,0,1,0,6,0,8,8,8,0,0,4,0,2,1,0,0,1,0,1,0,6,0,8,8,8,0,0,4,0,2,
5,55,23,173,150,50-100,245,234,792,246,597,31,30,322,1311,13,3,1,1,1,1,1,1,2,1083,870,18,1560,1191,19,46,0.432,177,257,40,0.386,173,256,13.64251718,38.11918223,1,0,1,0,6,0,8,8,8,0,0,4,0,2,1,0,0,1,0,1,0,6,0,8,8,8,0,0,4,0,2,
4,53,24,173,149,0-50,244,233,797,247,600,33,30,322,1332,13,3,1,1,1,1,1,1,2,1080,867,18,1557,1188,19,46,0.432,177,257,40,0.386,173,256,13.64251718,38.11918223,1,0,1,0,6,0,8,8,8,0,0,4,0,2,1,0,0,1,0,1,0,6,0,8,8,8,0,0,4,0,2,
3,54,23,175,147,50-100,244,235,792,246,597,38,30,322,1318,13,3,1,1,1,1,1,1,2,1078,866,18,1555,1186,19,46,0.432,177,257,40,0.386,173,256,13.64251718,38.11918223,1,0,1,0,6,0,8,8,8,0,0,4,0,2,1,0,0,1,0,1,0,6,0,8,8,8,0,0,4,0,2,
5,53,24,173,149,0-50,244,233,797,247,600,33,30,322,1334,13,3,1,1,1,1,1,1,2,1080,867,18,1556,1188,19,46,0.432,177,257,40,0.386,173,256,13.64251718,38.11918223,1,0,1,0,6,0,8,8,8,0,0,4,0,2,1,0,0,1,0,1,0,6,0,8,8,8,0,0,4,0,2,
1,2,77,176,147,50-100,206,197,904,296,690,45,30,322,1887,13,3,1,1,2,1,1,1,2,1017,829,18,1507,1191,17,46,0.432,177,257,40,0.386,173,256,14.10059555,38.26614173,1,0,1,0,7,0,1,0,1,0,0,1,1,6,0,0,0,1,0,1,0,7,0,1,0,1,0,0,1,1,6,
